Año;Mes;Organismo;Evento;Entradas;Clasificación
2018;Enero;Cineteca;Amazona;10;Cultura General
2018;Enero;Cineteca;CICLO DOCMA: El Becerro Pintado + Oírse;9;Documental
2018;Enero;Cineteca;CICLO LA CÁMARA COMO ESCRITURA. PRIMO LEJANO;5;Cine y Audiovisual
2018;Enero;Cineteca;DOCSBARCELONA DEL MES. Machines;10;Documental
2018;Enero;Cineteca;El Séptimo De Cineteca. Muziko;2;Cine y Audiovisual
2018;Enero;Cineteca;El Viaje De Khadija;13;Cine y Audiovisual
2018;Enero;Cineteca;ESTRENOS DE CINETECA. Kedi (Gatos De Estambul);14;Cine y Audiovisual
2018;Enero;Cineteca;FESTIVAL CINE CANADIENSE DE MADRID: Les Mauvaises Herbes;14;Cine y Audiovisual
2018;Enero;Cineteca;FESTIVAL CINE CANADIENSE DE MADRID:Et Au Pire, on Se Mariera;15;Cine y Audiovisual
2018;Enero;Cineteca;La Soledad;14;Cultura General
2018;Enero;Cineteca;MUESTRA DOC COLOMBIANA: Un Tigre De Papel;4;Documental
2018;Enero;Cineteca;PREMIOS DÍAS DE CINE: ¡lumiere! COMIENZA LA AVENTURA;2;Documental
2018;Enero;Cineteca;PREMIOS DÍAS DE CINE: I AM not YOUR NEGRO;3;Documental
2018;Enero;Cineteca;Recomendado Por... Emelina;9;Cultura General
2018;Enero;Cineteca;Recomendado Por... Stranger in Paradise;5;Cultura General
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Pura Sangre;3;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Sesión De Cortos I;3;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Sesión De Cortos III;1;Cine y Audiovisual
2018;Enero;Cineteca;Retrospectiva Del Grupo De Cali: Soplo De Vida;2;Cine y Audiovisual
2018;Enero;Conde Duque;Sin Beneficiarios;0;Cultura General
2018;Enero;Fernán Gómez;Crimen y Telón;240;Teatro y Escénicas
2018;Enero;Fernán Gómez;El Círculo De Hierro (Gustavo Adolfo Bécquer);24;Literatura y Poesía
2018;Enero;Fernán Gómez;Envidia De La Luz;83;Cultura General
2018;Enero;Fernán Gómez;SOLITUDES De KULUNKA TEATRO;27;Teatro y Escénicas
2018;Enero;Fernán Gómez;Vd. Tiene Ojos De Mujer Fatal..en La Radio;107;Teatro y Escénicas
2018;Enero;Naves Matadero;Deadtown - The Forman Brother's Wild West Show;37;Teatro y Escénicas
2018;Enero;Teatro Circo Price;ARKANO vs DTOKE - Final Round;114;Música y Conciertos
2018;Enero;Teatro Circo Price;Circo Price en Navidad: Los Viajes De Marco y Pili;42;Infantil / Familiar
2018;Enero;Teatro Español;El Ángel Exterminador;1;Música y Conciertos
2018;Enero;Teatro Español;The Black Apple y Los Párpados Sellados;1;Teatro y Escénicas
2018;Enero;Teatro Español;El Ángel Exterminador;283;Literatura y Poesía
2018;Enero;Teatro Español;Samabá Samabé;32;Cultura General
2018;Enero;Teatro Español;The Black Apple y Los Párpados Sellados;136;Literatura y Poesía
2018;Febrero;Cineteca;CICLO DOCMA: El Milagro De San Lázaro;2;Documental
2018;Febrero;Cineteca;Did you Wonder Who Fired the Gun?;15;Cine y Audiovisual
2018;Febrero;Cineteca;DOCSBARCELONA DEL MES. La Hora De Los Deberes;6;Documental
2018;Febrero;Cineteca;El Mar Nos Mira De Lejos;11;Cine y Audiovisual
2018;Febrero;Cineteca;El Patio De Mi Casa;5;Teatro y Escénicas
2018;Febrero;Cineteca;Ghost Hunting;7;Documental
2018;Febrero;Cineteca;Gigantes Descalzos;7;Infantil / Familiar
2018;Febrero;Cineteca;Las Cinéphilas;26;Cine y Audiovisual
2018;Febrero;Cineteca;Los Objetos Amorosos;28;Cine y Audiovisual
2018;Febrero;Cineteca;Mi Querida España;9;Cine y Audiovisual
2018;Febrero;Cineteca;Si Corre o Vuela ... a La Cazuela;6;Teatro y Escénicas
2018;Febrero;Cineteca;Suitcase of Love and Shame;5;Documental
2018;Febrero;Conde Duque;Sin Beneficiarios;0;Cultura General
2018;Febrero;Fernán Gómez;Las Tres Hermanas;299;Teatro y Escénicas
2018;Febrero;Fernán Gómez;Otro Juicio a D. Juan. Los Martes, Milagro;33;Teatro y Escénicas
2018;Febrero;Fernán Gómez;SOLITUDES De KULUNKA TEATRO;432;Teatro y Escénicas
2018;Febrero;Naves Matadero;En Un Tiempo Oscuro - Cia. Daniel Teba;158;Teatro y Escénicas
2018;Febrero;Naves Matadero;Mystery Magnet - Miet Warlop;71;Teatro y Escénicas
2018;Febrero;Teatro Circo Price;35 Aniversario Presente Femenino;35;Cultura General
2018;Febrero;Teatro Circo Price;Magia De Cerca;76;Infantil / Familiar
2018;Febrero;Teatro Circo Price;VIII Festival Internacional De Magia;567;Infantil / Familiar
2018;Febrero;Teatro Español;El Ángel Exterminador;433;Literatura y Poesía
2018;Febrero;Teatro Español;Juguetes Rotos;281;Teatro y Escénicas
2018;Marzo;Cineteca;4;17;Cultura General
2018;Marzo;Cineteca;Al Otro Lado Del Muro;20;Cine y Audiovisual
2018;Marzo;Cineteca;Cause of Death: Unknown;20;Documental
2018;Marzo;Cineteca;Ciclo Eugenio Polgovski: Los Herederos;4;Documental
2018;Marzo;Cineteca;Ciclo Eugenio Polgovski: Resurrección;5;Documental
2018;Marzo;Cineteca;Ciclo Eugenio Polgovski: Trópico De Cáncer;6;Documental
2018;Marzo;Cineteca;El Viaje De Khadija;45;Cine y Audiovisual
2018;Marzo;Cineteca;FOOD COOP;31;Documental
2018;Marzo;Cineteca;Golden Dawn Girls;19;Documental
2018;Marzo;Cineteca;HACIA LA HUELGA FEMINISTA: 5000 Feminismos + Vogliamo Anche;8;Documental
2018;Marzo;Cineteca;HACIA LA HUELGA FEMINISTA: El Deseo De La Civiliz + the Phan;18;Documental
2018;Marzo;Cineteca;HACIA LA HUELGA FEMINISTA: Working Women + Riddles of the Sp;8;Documental
2018;Marzo;Cineteca;Jardines De Plomo;4;Cine y Audiovisual
2018;Marzo;Cineteca;Los Objetos Amorosos;9;Cine y Audiovisual
2018;Marzo;Cineteca;Maman Colonelle;13;Documental
2018;Marzo;Cineteca;Thank you for the Rain;19;Documental
2018;Marzo;Cineteca;Un Padre;7;Teatro y Escénicas
2018;Marzo;Conde Duque;EC en TIERRA (GROUNDED);59;Teatro y Escénicas
2018;Marzo;Conde Duque;EC Flor(Es) CUALQUIER LUGAR, CUALQUIER MUJER;63;Teatro y Escénicas
2018;Marzo;Conde Duque;EC Flying Pigs;63;Teatro y Escénicas
2018;Marzo;Conde Duque;EC Óyeme Con Los Ojos;28;Teatro y Escénicas
2018;Marzo;Conde Duque;EC Pour;59;Teatro y Escénicas
2018;Marzo;Conde Duque;EC Una Guarida Con Luz;57;Teatro y Escénicas
2018;Marzo;Fernán Gómez;¡oh Cuba!;817;Cine y Audiovisual
2018;Marzo;Fernán Gómez;La Casa Del Lago;468;Cine y Audiovisual
2018;Marzo;Naves Matadero;Despertar Da Primavera, Uma Tragédia De Juventude;68;Teatro y Escénicas
2018;Marzo;Naves Matadero;En Un Tiempo Oscuro - Cia. Daniel Teba;36;Teatro y Escénicas
2018;Marzo;Naves Matadero;Estoy Pensando en Tortugas;98;Teatro y Escénicas
2018;Marzo;Naves Matadero;The End- Vocaloid Opera;69;Música y Conciertos
2018;Marzo;Teatro Circo Price;VIII Festival Internacional De Magia;490;Infantil / Familiar
2018;Marzo;Teatro Español;Cronología De Las Bestias;1131;Cine y Audiovisual
2018;Marzo;Teatro Español;El Lugar Donde Rezan Las Putas;349;Cine y Audiovisual
2018;Marzo;Teatro Español;Juguetes Rotos;61;Teatro y Escénicas
2018;Abril;Cineteca;6 Cortos Sobre Las Decisiones Que Cambiaron Mi Vida;28;Cine y Audiovisual
2018;Abril;Cineteca;Ciclo Resistentes: La Memoria Rebelde;30;Documental
2018;Abril;Cineteca;Ciclo Resistentes: Lucio;24;Documental
2018;Abril;Cineteca;Ciclo Resistentes: Vivir De Pie. Las Guerras De Cipriano Mera;10;Documental
2018;Abril;Cineteca;Donkeyote;35;Documental
2018;Abril;Cineteca;Golden Dawn Girls;41;Documental
2018;Abril;Cineteca;I'm not a Witch (Presentación De La XV Edición Del FCAT);2;Cine y Audiovisual
2018;Abril;Cineteca;JAAR. El Lamento De Las Imágenes;33;Cine y Audiovisual
2018;Abril;Cineteca;Jericó, El Infinito Vuelo De Los Días;39;Documental
2018;Abril;Cineteca;La Isla De Los Monjes;19;Cine y Audiovisual
2018;Abril;Cineteca;Las Calles;20;Cine y Audiovisual
2018;Abril;Cineteca;Los Demás Días;29;Cine y Audiovisual
2018;Abril;Cineteca;Los Niños;13;Documental
2018;Abril;Cineteca;Samba: Un Nombre Borrado;23;Cine y Audiovisual
2018;Abril;Cineteca;Sinfonía De Verano: Retrato De Una Ciudad;36;Cine y Audiovisual
2018;Abril;Conde Duque;Allez, Allez...!;28;Cine y Audiovisual
2018;Abril;Conde Duque;El Notario;61;Cine y Audiovisual
2018;Abril;Fernán Gómez;Amanda T;364;Cine y Audiovisual
2018;Abril;Fernán Gómez;Concierto a Tempo D´Umore;521;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. Aleks Syntek ""Tour Trasatlántico """;54;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. AntÍlopez: ""Desprendimiento De Rutina""";137;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. Jaime Urrutia. ""J. Urrutia en Concierto""";47;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. La Bien Querida: ""La Bien Querida en Acústico"".";137;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. Malevaje: ""30 Años De Tango""";53;Música y Conciertos
2018;Abril;Fernán Gómez;"MP. Materia Prima y Juan Carmona. ""Materia Flamenca""";102;Música y Conciertos
2018;Abril;Fernán Gómez;Voces en El Silencio. Los Martes, Milagro.;66;Teatro y Escénicas
2018;Abril;Naves Matadero;Eclipse Mundo - Paz Rojo;125;Teatro y Escénicas
2018;Abril;Naves Matadero;El Tiempo Entre Nosotros - Relatos;45;Teatro y Escénicas
2018;Abril;Naves Matadero;Grand Applause - Jorge Dutor y Guillem Mont De Palol;68;Teatro y Escénicas
2018;Abril;Naves Matadero;Número Cero (Nº0);48;Teatro y Escénicas
2018;Abril;Naves Matadero;The Marriage of Heaven and Hell;272;Cultura General
2018;Abril;Teatro Circo Price;Extension;449;Teatro y Escénicas
2018;Abril;Teatro Circo Price;Halka;253;Teatro y Escénicas
2018;Abril;Teatro Español;Ahora Todo Es Noche;855;Cine y Audiovisual
2018;Abril;Teatro Español;Cronología De Las Bestias;381;Cine y Audiovisual
2018;Abril;Teatro Español;El Lugar Donde Rezan Las Putas;120;Cine y Audiovisual
2018;Abril;Teatro Español;Encendidas;78;Teatro y Escénicas
2018;Abril;Teatro Español;Fiesta, Fiesta, Fiesta;69;Teatro y Escénicas
2018;Abril;Teatro Español;La Fureur De Ce Que Je Pense;108;Literatura y Poesía
2018;Abril;Teatro Español;Claudia Cedó vs. Félix Estaire;20;Teatro y Escénicas
2018;Mayo;Cineteca;DOCM18. CORT. FUGAS 2: Zakhm. Silica. Sehrlangan.Wood&Waters;7;Documental
2018;Mayo;Cineteca;DOCM18. CORT. FUGAS1: Tesla. Amplifier. Los Perros De A. Wit;16;Documental
2018;Mayo;Cineteca;DOCM18. CORT. INT. 1: Las Nubes. Moriviví. Ard Al M. De La;4;Documental
2018;Mayo;Cineteca;DOCM18. CORT. NAC 2.: Horta. Galateé. a Mythology of P. El E;10;Documental
2018;Mayo;Cineteca;DOCM18. CORT. NAC 3.: Mikele. en Lugar De Nada;13;Documental
2018;Mayo;Cineteca;DOCM18. DESDE LO FEMENINO: Baronesa;5;Documental
2018;Mayo;Cineteca;DOCM18. DESDE LO FEMENINO: Kenet Nam ' Al Sateh;4;Documental
2018;Mayo;Cineteca;DOCM18. INVIT.  ESP: JOÃO MOREIRA SALLES. No Intenso Agora;5;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Al Di Lá Dell' Uno;12;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Becoming Animal;17;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Buddha.Mov;6;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Caniba;11;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Fán Dóng;9;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Good Luck;9;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Interior;4;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: Playing Men;6;Documental
2018;Mayo;Cineteca;DOCM18. LARG. FUGAS: The Green Fog;3;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Amanecer;13;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Bixa Travesty;26;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Blue Orchids;9;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Cartucho;11;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: O Processo;16;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Of Fathers and Sons;25;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Purge This Land;12;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: Room for a Man;5;Documental
2018;Mayo;Cineteca;DOCM18. LARG. INT.: The Lonely Battle of Thomas Reid;6;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Ainhoa: Yo No Soy Esa;15;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: El Señor Liberto y Los Pequeños Placeres;4;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Escoréu, 24 D'Avientu De 1937;7;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Everyone in Hawaii Has a Sixpack Already;13;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Impulso;5;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: La Grieta;9;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Mes Voisins, Chronique D'Une Élection;27;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Rêve De Mousse;15;Documental
2018;Mayo;Cineteca;DOCM18. LARG. NAC.: Tódalas Mulleres Que Coñezo;10;Documental
2018;Mayo;Cineteca;DOCM18. NATURA en VILO. Resurrección;2;Documental
2018;Mayo;Cineteca;DOCM18. PEDAGOGÍAS DE LA CREACIÓN. Cien Niños Esperando Un T;5;Documental
2018;Mayo;Cineteca;DOCM18. SESIÓN ESPECIAL.  Antígona;20;Documental
2018;Mayo;Cineteca;DOCM18.CORT. INT. 2: Todo Sigue T. Alle De T. Saule M. Ligne;3;Documental
2018;Mayo;Cineteca;HOLLYWOOD RUEDA en ESPAÑA – 1955-1980;5;Cine y Audiovisual
2018;Mayo;Cineteca;KUSAMA – INFINITY (PRESENTACIÓN ESPECIAL RIZOMA);13;Cine y Audiovisual
2018;Mayo;Cineteca;Los Demas Días;26;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN I;13;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN II;5;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN III: THE ENDLESS ...;4;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN IV: PRO SURFERS....;4;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN IX;4;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN V: FROM LOST TO...;7;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN VI;5;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN VII: OCÉANO PLÁSTI..;10;Cine y Audiovisual
2018;Mayo;Cineteca;MADRID SURF FILM FESTIVAL 2018: SESIÓN VIII: OCEAN THERAPY..;5;Cine y Audiovisual
2018;Mayo;Cineteca;SESIÓN CINEZETA: PIPPERMINT FRAPPÉ;1;Cine y Audiovisual
2018;Mayo;Cineteca;Tarrafal;15;Cine y Audiovisual
2018;Mayo;Cineteca;UN HOMBRE MEJOR - A BETTER MAN (DOCS BARCELONA);16;Documental
2018;Mayo;Conde Duque;Alfredo Tejada;36;Música y Conciertos
2018;Mayo;Conde Duque;HERMANXS SHAKESPEARE;100;Teatro y Escénicas
2018;Mayo;Conde Duque;LA Zuhainpeko Soinuak - Ahozko Trasmisioa;30;Música y Conciertos
2018;Mayo;Fernán Gómez;Desde El Acero (Ab Ipso Ferro). Fray Luis De León;28;Literatura y Poesía
2018;Mayo;Fernán Gómez;El Círculo De Hierro. Bécquer. Los Martes, Milagro.;33;Literatura y Poesía
2018;Mayo;Fernán Gómez;"Alfonso Losa ""Con-Secuencias""";54;Música y Conciertos
2018;Mayo;Fernán Gómez;"Bailaoras. ""El Nuevo Tiempo""";93;Música y Conciertos
2018;Mayo;Fernán Gómez;"CPD ""Carmen Amaya"" / CPD ""Fortea""";42;Música y Conciertos
2018;Mayo;Fernán Gómez;David Palomar, Riki Rivera, Roberto Jaén y El Junco;47;Música y Conciertos
2018;Mayo;Fernán Gómez;"Emilio Ochando. ""Siroco""";52;Música y Conciertos
2018;Mayo;Fernán Gómez;"Gala Ignaugural Flamenco Con ""M"" De Mujer";95;Música y Conciertos
2018;Mayo;Fernán Gómez;"Manuel Reyes. ""Tan Solo""";33;Música y Conciertos
2018;Mayo;Fernán Gómez;Pablo Rubén Maldonado. El Arte De La Ira y Del Amor;33;Música y Conciertos
2018;Mayo;Fernán Gómez;R.C. P  De D. Mariemma / C. S. María De Ávila;51;Música y Conciertos
2018;Mayo;Fernán Gómez;"Salvador Tavora. ""Quejío""";35;Música y Conciertos
2018;Mayo;Fernán Gómez;"Tremendita + Gema Caballero. ""Cantahora""";33;Música y Conciertos
2018;Mayo;Fernán Gómez;"Astrid Hada ""Miscelanea"". """;37;Teatro y Escénicas
2018;Mayo;Fernán Gómez;"Cashalada Cía. ""Two Ladies or not Two Ladies""";50;Teatro y Escénicas
2018;Mayo;Fernán Gómez;"De La Puríssima Presenta ""Hagiografía""";82;Música y Conciertos
2018;Mayo;Fernán Gómez;"La Beti y Madame Gostossa. ""Una Vida Burlesca""";33;Teatro y Escénicas
2018;Mayo;Fernán Gómez;"La Shica. ""Pequeñas Infidelidades""";33;Música y Conciertos
2018;Mayo;Fernán Gómez;"Roma Calderón ""Apasionata""";81;Teatro y Escénicas
2018;Mayo;Fernán Gómez;Requiem;297;Música y Conciertos
2018;Mayo;Naves Matadero;IMPRENTA ACÚSTICA EN.. (14 BORRONES DE UNA) .. APARICIÓN;152;Literatura y Poesía
2018;Mayo;Naves Matadero;Le Direktør (El Jefe De Todo Esto)- L’Alakran;55;Teatro y Escénicas
2018;Mayo;Teatro Circo Price;Invisibles;160;Cine y Audiovisual
2018;Mayo;Teatro Circo Price;La Dévorée;50;Teatro y Escénicas
2018;Mayo;Teatro Circo Price;Y Ahora Qué?;200;Teatro y Escénicas
2018;Mayo;Teatro Español;Apariencias;284;Teatro y Escénicas
2018;Mayo;Teatro Español;Divinas Palabras;787;Teatro y Escénicas
2018;Mayo;Teatro Español;Donde El Bosque Se Espesa;813;Teatro y Escénicas
2018;Mayo;Teatro Español;Olvidémonos De Ser Turistas;406;Cine y Audiovisual
2018;Mayo;Teatro Español;CLARA GAYO vs. ABRIL ZAMORA;25;Teatro y Escénicas
2018;Mayo;Teatro Español;EVA REDONDO vs. JAN VILANOVA;20;Teatro y Escénicas
2018;Mayo;Teatro Español;GON RAMOS vs. CRISTINA CLEMENTE;25;Teatro y Escénicas
2018;Mayo;Teatro Español;PRIMERA SEMIFINAL;25;Teatro y Escénicas
2018;Junio;Cineteca;CICLO BRUCE LABRUCE: IT is not PORNOGRAPHER PERVERSE...;45;Cine y Audiovisual
2018;Junio;Cineteca;CICLO BRUCE LABRUCE: NO SKIN OFF MY ASS;38;Cine y Audiovisual
2018;Junio;Cineteca;CICLO DOC PORTUGUÉS: A TOCA DO LOBO;6;Documental
2018;Junio;Cineteca;CICLO DOC PORTUGUÉS: E AGORA? LEMBRA-ME;9;Documental
2018;Junio;Cineteca;CICLO DOC PORTUGUÉS: ELDORADO XXI;5;Documental
2018;Junio;Cineteca;CICLO DOC PORTUGUÉS: LUZ OBSCURA;22;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: AUTOSUFICIENTES;6;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: EL PEOR DIOS;21;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: HERE to be HEARD;19;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: MUJERES DEL SIGLO XX;62;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: PELIGRO SOCIAL;29;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: WE’RE HERE, WE’RE PRESENT;14;Documental
2018;Junio;Cineteca;CICLO MUJERES HECHAS DE PUNK: DE UN TIEMPO LIBRE a ESTA PARTE;2;Documental
2018;Junio;Cineteca;Cinezeta Victoria;1;Cine y Audiovisual
2018;Junio;Cineteca;DONKEYOTE;21;Documental
2018;Junio;Cineteca;ELEFANTES;33;Teatro y Escénicas
2018;Junio;Cineteca;Era of Dance;1;Teatro y Escénicas
2018;Junio;Cineteca;LA GRIETA;40;Documental
2018;Junio;Cineteca;Miss Kiet´s Children;14;Documental
2018;Junio;Cineteca;PETITET;38;Teatro y Escénicas
2018;Junio;Cineteca;SPAIN MOVING IMAGES FESTIVAL: CAFÉ TOGO / AL BAJAR DE...;16;Cine y Audiovisual
2018;Junio;Conde Duque;Hermanxs Shakespeare;161;Teatro y Escénicas
2018;Junio;Conde Duque;Muestra Latidos;53;Cine y Audiovisual
2018;Junio;Fernán Gómez;El Vuelo De La Mariposa;33;Teatro y Escénicas
2018;Junio;Fernán Gómez;"Antonio Canales. ""A Cuerda y Tacón""";2;Música y Conciertos
2018;Junio;Fernán Gómez;"Concha Jareño. ""Recital Flamenco""";62;Música y Conciertos
2018;Junio;Fernán Gómez;"Ismael De La Rosa / Yeray Cortés. ""Flamenco Directo""";33;Música y Conciertos
2018;Junio;Fernán Gómez;"José Maldonado. ""Bodegón""";95;Música y Conciertos
2018;Junio;Fernán Gómez;"M. De La Tomasa, El Purili y R. Lara. ""18""";33;Música y Conciertos
2018;Junio;Fernán Gómez;"Mirian Méndez. ""La Princesa Descalza""";33;Música y Conciertos
2018;Junio;Fernán Gómez;Monjes Tibetanos Thasi Lhunpu (Tibet);138;Cultura General
2018;Junio;Fernán Gómez;La Familia No;380;Cine y Audiovisual
2018;Junio;Fernán Gómez;Placeres Íntimos;445;Teatro y Escénicas
2018;Junio;Fernán Gómez;XXVII Cert. Coreog. De D. Española y Flamenco. Semifinales;113;Teatro y Escénicas
2018;Junio;Naves Matadero;ADISHATZ / ADIEU. Jonathan Capdevielle -Association Poppydog;70;Teatro y Escénicas
2018;Junio;Naves Matadero;De Sol a Sol;20;Teatro y Escénicas
2018;Junio;Naves Matadero;IMAGINACIONES Y SORTILEGIOS;20;Teatro y Escénicas
2018;Junio;Naves Matadero;MADRUGÁ;73;Teatro y Escénicas
2018;Junio;Teatro Circo Price;Gran Gala 25 Aniversario Payasos Sin Fronteras;51;Infantil / Familiar
2018;Junio;Teatro Circo Price;La Vuelta a Mi Mundo;110;Teatro y Escénicas
2018;Junio;Teatro Español;Apariencias;179;Teatro y Escénicas
2018;Junio;Teatro Español;1000 Preguntas Antes De Cantar Una Canción;51;Música y Conciertos
2018;Junio;Teatro Español;Casas;9;Teatro y Escénicas
2018;Junio;Teatro Español;Evros Walk Water;23;Documental
2018;Junio;Teatro Español;La Riña;23;Teatro y Escénicas
2018;Junio;Teatro Español;La Traviata;50;Música y Conciertos
2018;Junio;Teatro Español;Rebota, Rebota y en Tu Cara Explota;60;Teatro y Escénicas
2018;Junio;Teatro Español;Olvidémonos De Ser Turistas;48;Cine y Audiovisual
2018;Junio;Teatro Español;GRAN FINAL;25;Teatro y Escénicas
2018;Junio;Teatro Español;SEGUNDA SEMIFINAL;25;Teatro y Escénicas
2018;Junio;Teatro Español;Tres Deseos;79;Teatro y Escénicas
2018;Julio;Cineteca;Dolphin Man;20;Documental
2018;Julio;Cineteca;Goodbye Mr. Marshall;9;Cine y Audiovisual
2018;Julio;Cineteca;La Memoria De Los Huesos;68;Documental
2018;Julio;Cineteca;La Plaza;54;Cine y Audiovisual
2018;Julio;Cineteca;La Realidad en Pedazos;13;Documental
2018;Julio;Cineteca;Miss Kiet´s Children;25;Documental
2018;Julio;Conde Duque;Sin Beneficiarios;0;Cultura General
2018;Julio;Fernán Gómez;La Familia No;49;Cine y Audiovisual
2018;Julio;Fernán Gómez;Las Bicicletas Son Para El Verano.;1611;Teatro y Escénicas
2018;Julio;Naves Matadero;Crowd - Gisèle Viene;140;Teatro y Escénicas
2018;Julio;Naves Matadero;Trilogía Antropofágica. Acto 2;128;Teatro y Escénicas
2018;Julio;Naves Matadero;TRA Trilogía Antropofágica. Acto 3;118;Teatro y Escénicas
2018;Julio;Teatro Circo Price;La Vida Moderna Live Show;978;Cultura General
2018;Julio;Teatro Circo Price;Until the Lions;706;Teatro y Escénicas
2018;Julio;Teatro Español;Sin Beneficiarios;0;Cultura General
2018;Julio;Veranos De La Villa;Por Bambino, Sigue La Fiesta;70;Música y Conciertos
2018;Agosto;Cineteca;Sin Beneficiarios;0;Cultura General
2018;Agosto;Conde Duque;Sin Beneficiarios;0;Cultura General
2018;Agosto;Fernán Gómez;Sin Beneficiarios;0;Cultura General
2018;Agosto;Naves Matadero;Sin Beneficiarios;0;Cultura General
2018;Agosto;Teatro Circo Price;Sin Beneficiarios;0;Cultura General
2018;Agosto;Teatro Español;Sin Beneficiarios;0;Cultura General
2018;Septiembre;Cineteca;ANI  - The Breadwinner;12;Cine y Audiovisual
2018;Septiembre;Cineteca;Braguino;73;Documental
2018;Septiembre;Cineteca;Ciclo Docma: Sub Terrae/Una Vez Fuimos Salvajes;18;Documental
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: 39 El Documental;11;Documental
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: Ala-Kachuu (Grab and Run);18;Cine y Audiovisual
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: Areka/Entre Pándols i Cavalls/Asturias Patria Dolida…;14;Cine y Audiovisual
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: Arenas De silencio:Olas De Valor;23;Documental
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: La Vuelta Al Mundo + La Grieta;36;Cine y Audiovisual
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: Las Mujeres Decididas/Lo Que La Distancia No Borra;18;Cine y Audiovisual
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: The Neverending Wall/Vientos De Resistencia;16;Cine y Audiovisual
2018;Septiembre;Cineteca;Cine Pol. Dir. Por Mujeres: Veinte Años Después/Juthour;17;Cine y Audiovisual
2018;Septiembre;Cineteca;Directed by Women: Debate: Nuevas Tendencias en El Guión Audiovisual;2;Cultura General
2018;Septiembre;Cineteca;Directed by Women: Double Victims;19;Cine y Audiovisual
2018;Septiembre;Cineteca;Directed by Women: Rumbos;2;Cine y Audiovisual
